name,face_recognition_dst,openface_OEN_dst,openface_IEBL_dst,dlib_trained_model,sift_feature,is_different_gender,pca_eigenface_dst,target
face_cropping/test\1590564434908_0,0.4656748124181302,0.5598062872886658,0.6776888966560364,0.4652739427389716,1,1,27077625.34517221,0
face_cropping/test\1590564712233_0,0.4632044487702112,0.6532955169677734,0.7682561278343201,0.4518816464534152,10,1,6608856.857741171,0
face_cropping/test\1590565065510_0,0.4459551915798286,0.6478790044784546,0.5971500277519226,0.45593396469256925,7,0,7332217.195400073,0
face_cropping/test\1590565332253_0,0.48414415845206893,0.716850221157074,0.7624698281288147,0.43981262697217544,16,0,8200383.102351043,0
face_cropping/test\1590567545622_0,0.5261527702140448,0.6372557282447815,0.768834114074707,0.5072744484888484,16,0,20685913.201758835,0
face_cropping/test\1590567971272_0,0.3573919003831608,0.5793048143386841,0.5592617988586426,0.39302602996911185,1,0,14275239.990007944,0
face_cropping/test\1590568097470_0,0.4448670511954972,0.6102060079574585,0.5030303001403809,0.4373874252855451,2,0,7629779.74973865,0
face_cropping/test\1590568272439_0,0.4342683243529508,0.8683880567550659,0.7733115553855896,0.43018114141416786,35,0,12988223.623861812,0
face_cropping/test\1590568814468_0,0.4125541525701445,0.388248473405838,0.49458664655685425,0.42103127992060757,5,0,13900153.783713978,0
face_cropping/test\1590569060082_0,0.4508817285863435,0.8451496958732605,0.9393225908279419,0.4813325928421961,10,1,8935160.386098983,0
face_cropping/test\1590569219522_0,0.43432477296095967,1.124070644378662,1.1982030868530273,0.41063881406708946,9,0,17993346.038415924,0
face_cropping/test\1590569768002_0,0.5079615637121897,0.6603495478630066,0.7044965624809265,0.52382040596537,7,1,6247410.741256293,0
face_cropping/test\1590569870753_1,0.6164928985269267,1.0684493780136108,1.094638705253601,0.6838958909918894,19,0,37269383.070797466,1
face_cropping/test\1590925897823_0,0.4712829092550436,0.6956076622009277,0.6848616600036621,0.511513753743809,31,0,8510752.774710473,0
face_cropping/test\1590926630525_0,0.44066198089869574,0.6734867095947266,0.5563188195228577,0.4064190889836108,9,0,8196634.022197191,0
face_cropping/test\1590926900331_0,0.4507422411231214,0.4666360914707184,0.5369808077812195,0.4753406866473835,9,0,13152765.250523578,0
face_cropping/test\1590927045827_0,0.4966722661520006,0.893046498298645,0.8128467798233032,0.539024791795403,5,0,9610013.198568486,0
face_cropping/test\1590927398070_0,0.49202020240481936,0.6598890423774719,0.6470620632171631,0.5016291252379057,8,1,6960799.4590869015,0
face_cropping/test\1590927570919_0,0.49690037588814706,0.5692525506019592,0.7392265796661377,0.5312397052675684,0,0,14652197.20084493,0
face_cropping/test\1590927735368_0,0.5001408111413184,0.6774542927742004,0.7388982772827148,0.5132513278899452,2,0,11535656.589677157,0
face_cropping/test\1590927984321_0,0.6070869951316931,0.9825542569160461,1.1138898134231567,0.6154861534300239,3,1,22855170.435335465,0
face_cropping/test\1590928290672_1,0.5890978610955759,0.7006549835205078,0.6595427989959717,0.6079471610158391,4,0,6963448.281089227,1
face_cropping/test\1590928420894_0,0.41036997251855617,0.5126590132713318,0.653359591960907,0.4351966468027623,69,0,10704204.373912172,0
face_cropping/test\1590928889173_1,0.5986184758567373,1.1451939344406128,1.172734022140503,0.6196781600667025,46,1,13304916.24505861,1
face_cropping/test\1590929204143_0,0.6177306154732427,1.1852461099624634,1.0006369352340698,0.6304440026628702,28,0,11466914.496837327,0
face_cropping/test\1590929658005_0,0.657164914134212,0.9271359443664551,0.9354535341262817,0.6497295284523895,38,0,9045956.240536321,0
face_cropping/test\1590929772216_0,0.5884853877894819,0.9215137362480164,0.852720320224762,0.6297620195873758,12,1,10401140.528815966,0
face_cropping/test\1590930243354_1,0.6071956506418882,0.9318158626556396,0.9216634631156921,0.6036578868899387,5,1,4200233.372131186,1
face_cropping/test\1590930359312_0,0.5359423543012172,1.1356407403945923,1.2801700830459595,0.5702768904199615,14,0,11556897.370277219,0
face_cropping/test\1590930685446_0,0.519233145364201,0.65818190574646,0.6410273909568787,0.5024577997368863,4,0,5620706.243731342,0
face_cropping/test\1590931289464_0,0.38238581592177445,0.6820687651634216,0.5565063953399658,0.4444493956148333,2,0,16305110.213556731,0
face_cropping/test\1590931614272_0,0.4155368474113859,0.49056699872016907,0.6385271549224854,0.4328309361755755,0,0,8822550.09566112,0
face_cropping/test\1590931783332_0,0.4429207031912997,0.6305890679359436,0.6999775171279907,0.44855604462361404,3,0,9368186.214936594,0
face_cropping/test\1590931884375_0,0.5785905772378759,0.8496708869934082,0.8263140916824341,0.6199998151188421,12,1,20589207.864150204,0
face_cropping/test\1590932146709_0,0.5203670914555789,0.6233121752738953,0.6844965219497681,0.4867879012568944,153,0,17129316.706134897,0
face_cropping/test\1590932247973_0,0.5687071702443872,0.6153257489204407,0.5475015640258789,0.5623915139976889,171,0,12464941.271259988,0
face_cropping/test\a_1590484072315_1590568097470_0,0.5228926717013332,0.4445229172706604,0.41211172938346863,0.5277704200664983,21,1,12292824.409651365,0
face_cropping/test\a_1590484321949_1590564072492_1,0.7828824118798599,0.9954058527946472,1.1065220832824707,0.7986745199684024,27,0,23007749.229473114,1
